 agent: Total 489.0
        275.0 (56.24%): terminus2
        214.0 (43.76%): openhands

 call_id: Total 489.0
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:4b2cba31bc3a444087cb9e48b9072cf1
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:4f18c342e9ad4484a2c09b99b69d3c1a
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:4fdcf09d07834fe393b66e16b3002b0f
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:5430042eb80d455aa29523a4b6567205
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:574305cd14564d518268eea523e704e8
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:5ac1aa55bd7f495e968c6c6e5c6bcfd3
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:5b9fefe65e894817ba00e3aef36e9fce
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:5bdeba9554a2447383b51834ef2bfee5
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:64dab553b10e41d2b380e8e3b3a695d5
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:6c3b862021a449a496b2f1d106b6972f
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:6e57375e59ef48a48bc2e5b7aa2f09f9
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:6e8803ae36494b8981219fe451724934
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:71d8e67aaeb547f08263ffc81e110a4a
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:73cab25a9c8b488f8dc6c8ac03b610f8
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:793eca35e9db4eb694c5faee4dd65098
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:794be3df951b442ca8715b135e391aba
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:799e873eef0b413796eb777cc3f0df64
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:7a1d06509f7545739ecb4f8a116e7d6d
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:7cc48639706a4ce0935e05d2c0efe5c0
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:7e679ce311a749ee8cebd80338890bb1
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:7f30e8e7542e4119b2fd4ee470f4f3ab
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:82c656ad5bd0492bbf05a8e6faedfbee
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:86e0cec47c654ab397250bea6c221932
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:88bb00be2a48440e9ced6a16d3ee78a6
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:8b7af0a7917a4366949e4799c4bbac11
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:8fabb5254aae4bf8bac22ad4725b0b8f
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:90f015d22a5e4948bdbf2638fca2f7fd
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:977e84fe9e17410da61e68bbe26ce385
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:99e8f369e1ff4769b3de04564b22ad4c
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:a53e34a631f04b4e8983d0163a28e445
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:a55ed76ebc1d496f8e7f86df8e3b4c02
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:a5bd0ccca3744060873b188df0340f3f
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:aa2706616adc4eee8f7b1fffd9762099
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:aa35ffd967e64b709a8841699dcb25ea
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:ac5a8b14753347a6ac177b90d8e57c8e
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:b22a5717e567431b99be1db5934f8568
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:b6e97f379ad44c8e8203df9bd47096d4
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:b818e10e1a1d412899090ac1d85a82d7
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:befbf3df695340f5b989672087e79f2f
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:c2c97a2a4d914dc5bb1cc5aa3ac1a24c
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:c606116e64be426887e999ba137c9321
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:c64ac72d3dab408f95ce1f5ee258516b
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:c72fcdb7112e41e1ac00fd5b77c115df
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:c811a28b355a4ecfa19eecbbf9a27ba0
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:cca0180f3b2c41d4a108726cac8b4633
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:d1d66fd5e64742d1ac6591affc3383d0
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:d3fffd51e8624061bc0ebef94c69fbd0
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:d511badbd25b48848a311405c33a2af3
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:de73682a88434f96a86786d5d8732f78
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:e0633a6200264b399ee7e51f5e7f59f8
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:e1cc42e1b06d487a80e9b262eba6a959
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:e3703e4590e14a0a8429138e25b8c0fb
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:ea61352615724097a738f4c66adca22c
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:ebf6b828b5ea49f695ccfc57124f0c99
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:ed0475443c4b4e95aaf36dd774d85a8b
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:ee9aa26468374f5b89ddbe05c90ad981
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:f10e2e5a6af64fdbb5c5e35ee9edfa16
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:f8741f0c185540a88e0594fde055258c
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:f91e4b7fad044067b510e69134886184
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:fab53cb9a1b44e038db382b17ad2a916
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:fb061aa9915b4757b4c2527f4dcb9c83
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:fc4315e182ac480997dfcfe76ad64d22

 evidence_id: Total 489.0
              3.0 ( 0.61%): 1
              3.0 ( 0.61%): 10
              3.0 ( 0.61%): 11
              3.0 ( 0.61%): 12
              3.0 ( 0.61%): 13
              3.0 ( 0.61%): 14
              3.0 ( 0.61%): 15
              3.0 ( 0.61%): 16
              3.0 ( 0.61%): 17
              3.0 ( 0.61%): 18
              3.0 ( 0.61%): 19
              3.0 ( 0.61%): 2
              3.0 ( 0.61%): 20
              3.0 ( 0.61%): 21
              3.0 ( 0.61%): 22
              3.0 ( 0.61%): 23
              3.0 ( 0.61%): 24
              3.0 ( 0.61%): 25
              3.0 ( 0.61%): 26
              3.0 ( 0.61%): 27
              3.0 ( 0.61%): 28
              3.0 ( 0.61%): 29
              3.0 ( 0.61%): 3
              3.0 ( 0.61%): 30
              3.0 ( 0.61%): 31
              3.0 ( 0.61%): 32
              3.0 ( 0.61%): 33
              3.0 ( 0.61%): 34
              3.0 ( 0.61%): 35
              3.0 ( 0.61%): 36
              3.0 ( 0.61%): 37
              3.0 ( 0.61%): 38
              3.0 ( 0.61%): 39
              3.0 ( 0.61%): 4
              3.0 ( 0.61%): 40
              3.0 ( 0.61%): 41
              3.0 ( 0.61%): 42
              3.0 ( 0.61%): 43
              3.0 ( 0.61%): 44
              3.0 ( 0.61%): 45
              3.0 ( 0.61%): 46
              3.0 ( 0.61%): 47
              3.0 ( 0.61%): 48
              3.0 ( 0.61%): 49
              3.0 ( 0.61%): 5
              3.0 ( 0.61%): 50
              3.0 ( 0.61%): 51
              3.0 ( 0.61%): 52
              3.0 ( 0.61%): 53
              3.0 ( 0.61%): 54
              3.0 ( 0.61%): 55
              3.0 ( 0.61%): 56
              3.0 ( 0.61%): 57
              3.0 ( 0.61%): 58
              3.0 ( 0.61%): 59
              3.0 ( 0.61%): 6
              3.0 ( 0.61%): 60
              3.0 ( 0.61%): 61
              3.0 ( 0.61%): 62
              3.0 ( 0.61%): 63
              3.0 ( 0.61%): 64
              3.0 ( 0.61%): 65
              3.0 ( 0.61%): 66
              3.0 ( 0.61%): 67
              3.0 ( 0.61%): 68
              3.0 ( 0.61%): 69
              3.0 ( 0.61%): 7
              3.0 ( 0.61%): 70
              3.0 ( 0.61%): 71
              3.0 ( 0.61%): 72
              3.0 ( 0.61%): 73
              3.0 ( 0.61%): 74
              3.0 ( 0.61%): 75
              3.0 ( 0.61%): 76
              3.0 ( 0.61%): 77
              3.0 ( 0.61%): 78
              3.0 ( 0.61%): 79
              3.0 ( 0.61%): 8
              3.0 ( 0.61%): 80
              3.0 ( 0.61%): 81
              3.0 ( 0.61%): 82
              3.0 ( 0.61%): 83
              3.0 ( 0.61%): 84
              3.0 ( 0.61%): 85
              3.0 ( 0.61%): 86
              3.0 ( 0.61%): 87
              3.0 ( 0.61%): 88
              3.0 ( 0.61%): 89
              3.0 ( 0.61%): 9
              3.0 ( 0.61%): 90
              3.0 ( 0.61%): 91
              3.0 ( 0.61%): 92
              3.0 ( 0.61%): 93
              3.0 ( 0.61%): 94
              3.0 ( 0.61%): 95
              2.0 ( 0.41%): 100
              2.0 ( 0.41%): 101
              2.0 ( 0.41%): 102
              2.0 ( 0.41%): 103
              2.0 ( 0.41%): 104
              2.0 ( 0.41%): 105
              2.0 ( 0.41%): 106
              2.0 ( 0.41%): 107
              2.0 ( 0.41%): 108
              2.0 ( 0.41%): 109
              2.0 ( 0.41%): 110
              2.0 ( 0.41%): 111
              2.0 ( 0.41%): 112
              2.0 ( 0.41%): 113
              2.0 ( 0.41%): 114
              2.0 ( 0.41%): 115
              2.0 ( 0.41%): 116
              2.0 ( 0.41%): 117
              2.0 ( 0.41%): 118
              2.0 ( 0.41%): 119
              2.0 ( 0.41%): 96
              2.0 ( 0.41%): 97
              2.0 ( 0.41%): 98
              2.0 ( 0.41%): 99
              1.0 (  0.2%): 120
              1.0 (  0.2%): 121
              1.0 (  0.2%): 122
              1.0 (  0.2%): 123
              1.0 (  0.2%): 124
              1.0 (  0.2%): 125
              1.0 (  0.2%): 126
              1.0 (  0.2%): 127
              1.0 (  0.2%): 128
              1.0 (  0.2%): 129
              1.0 (  0.2%): 130
              1.0 (  0.2%): 131
              1.0 (  0.2%): 132
              1.0 (  0.2%): 133
              1.0 (  0.2%): 134
              1.0 (  0.2%): 135
              1.0 (  0.2%): 136
              1.0 (  0.2%): 137
              1.0 (  0.2%): 138
              1.0 (  0.2%): 139
              1.0 (  0.2%): 140
              1.0 (  0.2%): 141
              1.0 (  0.2%): 142
              1.0 (  0.2%): 143
              1.0 (  0.2%): 144
              1.0 (  0.2%): 145
              1.0 (  0.2%): 146
              1.0 (  0.2%): 147
              1.0 (  0.2%): 148
              1.0 (  0.2%): 149
              1.0 (  0.2%): 150
              1.0 (  0.2%): 151
              1.0 (  0.2%): 152
              1.0 (  0.2%): 153
              1.0 (  0.2%): 154
              1.0 (  0.2%): 155
              1.0 (  0.2%): 156
              1.0 (  0.2%): 157
              1.0 (  0.2%): 158
              1.0 (  0.2%): 159
              1.0 (  0.2%): 160
              1.0 (  0.2%): 161
              1.0 (  0.2%): 162
              1.0 (  0.2%): 163
              1.0 (  0.2%): 164
              1.0 (  0.2%): 165
              1.0 (  0.2%): 166
              1.0 (  0.2%): 167
              1.0 (  0.2%): 168
              1.0 (  0.2%): 169
              1.0 (  0.2%): 170
              1.0 (  0.2%): 171
              1.0 (  0.2%): 172
              1.0 (  0.2%): 173
              1.0 (  0.2%): 174
              1.0 (  0.2%): 175
              1.0 (  0.2%): 176
              1.0 (  0.2%): 177
              1.0 (  0.2%): 178
              1.0 (  0.2%): 179
              1.0 (  0.2%): 180
              1.0 (  0.2%): 181
              1.0 (  0.2%): 182
              1.0 (  0.2%): 183
              1.0 (  0.2%): 184
              1.0 (  0.2%): 185
              1.0 (  0.2%): 186
              1.0 (  0.2%): 187
              1.0 (  0.2%): 188
              1.0 (  0.2%): 189
              1.0 (  0.2%): 190
              1.0 (  0.2%): 191
              1.0 (  0.2%): 192
              1.0 (  0.2%): 193
              1.0 (  0.2%): 194
              1.0 (  0.2%): 195
              1.0 (  0.2%): 196
              1.0 (  0.2%): 197
              1.0 (  0.2%): 198
              1.0 (  0.2%): 199
              1.0 (  0.2%): 200
              1.0 (  0.2%): 201
              1.0 (  0.2%): 202
              1.0 (  0.2%): 203
              1.0 (  0.2%): 204
              1.0 (  0.2%): 205
              1.0 (  0.2%): 206
              1.0 (  0.2%): 207
              1.0 (  0.2%): 208
              1.0 (  0.2%): 209
              1.0 (  0.2%): 210
              1.0 (  0.2%): 211
              1.0 (  0.2%): 212
              1.0 (  0.2%): 213
              1.0 (  0.2%): 214
              1.0 (  0.2%): 215
              1.0 (  0.2%): 216
              1.0 (  0.2%): 217
              1.0 (  0.2%): 218
              1.0 (  0.2%): 219
              1.0 (  0.2%): 220
              1.0 (  0.2%): 221
              1.0 (  0.2%): 222
              1.0 (  0.2%): 223
              1.0 (  0.2%): 224
              1.0 (  0.2%): 225
              1.0 (  0.2%): 226
              1.0 (  0.2%): 227
              1.0 (  0.2%): 228
              1.0 (  0.2%): 229
              1.0 (  0.2%): 230
              1.0 (  0.2%): 231
              1.0 (  0.2%): 232
              1.0 (  0.2%): 233
              1.0 (  0.2%): 234
              1.0 (  0.2%): 235
              1.0 (  0.2%): 236
              1.0 (  0.2%): 237
              1.0 (  0.2%): 238
              1.0 (  0.2%): 239
              1.0 (  0.2%): 240
              1.0 (  0.2%): 241
              1.0 (  0.2%): 242
              1.0 (  0.2%): 243
              1.0 (  0.2%): 244
              1.0 (  0.2%): 245
              1.0 (  0.2%): 246
              1.0 (  0.2%): 247
              1.0 (  0.2%): 248
              1.0 (  0.2%): 249
              1.0 (  0.2%): 250
              1.0 (  0.2%): 251
              1.0 (  0.2%): 252
              1.0 (  0.2%): 253
              1.0 (  0.2%): 254
              1.0 (  0.2%): 255
              1.0 (  0.2%): 256
              1.0 (  0.2%): 257
              1.0 (  0.2%): 258
              1.0 (  0.2%): 259
              1.0 (  0.2%): 260
              1.0 (  0.2%): 261
              1.0 (  0.2%): 262
              1.0 (  0.2%): 263
              1.0 (  0.2%): 264
              1.0 (  0.2%): 265
              1.0 (  0.2%): 266
              1.0 (  0.2%): 267
              1.0 (  0.2%): 268
              1.0 (  0.2%): 269
              1.0 (  0.2%): 270
              1.0 (  0.2%): 271
              1.0 (  0.2%): 272
              1.0 (  0.2%): 273
              1.0 (  0.2%): 274
              1.0 (  0.2%): 275

 prompt_hash: Total 489.0
              275.0 (56.24%): c89c047df73f6f78
              214.0 (43.76%): a477cfc46d0cb754

 source_kind: Total 489.0
              489.0 (  100%): tool

 source_session: Total 489.0
                 275.0 (56.24%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97
                 119.0 (24.34%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e
                  95.0 (19.43%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81

 view: Total 489.0
       489.0 (  100%): operations
