dimension,active_display_tag,raw_tag_count,support,raw_support_pct,review_required_rows,review_required_support,review_required_support_pct,long_tail_rows,long_tail_support,candidate_rows,active_merge_rows,raw_tags,governance_actions,top_processes,top_effects,top_paths,top_context_tags
prompt,block,1,40,0.008,0,0,0.0,1,40,0,0,block=40,keep_rare_distinct=1,git=31; cd=3; tool/edit=2; sed=2; tool/read=1; gh=1,repo=29; process=6; read=4; network=1,bpf=11; claude.md=7; collector/vendor=3; chore=3; collector/src=3; docs/design=3,refactor=41
prompt,score,1,40,0.008,0,0,0.0,1,40,0,0,score=40,keep_rare_distinct=1,find=16; ps=8; python3=6; tool/tool=4; nvidia-smi=2; rg=2,read=20; process=20,none=16; docs/eval_scripts=8; docs/corpus-rq1=6; judge_verdict.json=4; smoke_summary.json=4; results=2,test=41
llm,network,1,39,0.008,0,0,0.0,0,0,0,0,network=39,keep_head=1,,,,refactor=97576; analyze=261; review=222; trace=155; optimize=132; docs=99
prompt,pathfind,1,39,0.008,0,0,0.0,1,39,0,0,pathfind=39,keep_rare_distinct=1,git=21; nl=16; rg=2,read=39,collector/src=21; bpf=12; none=6,review=40
prompt,syncsync,1,39,0.008,1,39,100.0,1,39,1,0,syncsync=39,regenerate_candidate=1,find=10; git=9; for=5; sed=5; tmp_mktemp=4; ls=2,read=26; process=13,skills=8; yunwei37=7; scripts=6; none=5; home=3; skill-creator=3,analyze=40
llm,patch,1,37,0.008,0,0,0.0,0,0,0,0,patch=37,keep_head=1,,,,analyze=484; refactor=350; review=138; design=116; compare=60; research=50
prompt,read,1,36,0.007,0,0,0.0,1,36,0,0,read=36,keep_rare_distinct=1,sed=24; rg=12,read=36,docs/visexp=20; agentflame/readme.md=16,coda=27; benchmarks=21
prompt,userscenariq,1,36,0.007,0,0,0.0,1,36,0,0,userscenariq=36,keep_rare_distinct=1,git=14; sed=14; ls=2; pwd=2; rg=2; wc=2,read=34; process=2,docs/design=26; dev=4; none=2; docs/claude-code-analysis.md=2; readme.md=2,marketdoc=37
session,marketdoc,1,36,0.007,0,0,0.0,1,36,0,0,marketdoc=36,keep_rare_distinct=1,git=14; sed=14; ls=2; pwd=2; rg=2; wc=2,read=34; process=2,docs/design=26; dev=4; none=2; docs/claude-code-analysis.md=2; readme.md=2,userscenariq=36
llm,compile,1,35,0.007,0,0,0.0,0,0,0,0,compile=35,keep_head=1,,,,refactor=248698; review=166454; design=139; maintain=50; analyze=42; docs=37
llm,inspect,1,35,0.007,0,0,0.0,0,0,0,0,inspect=35,keep_head=1,,,,refactor=1891048; review=302710; design=78859; setup=75042; readcmd=59579; issue=20983
prompt,hint,1,35,0.007,0,0,0.0,1,35,0,0,hint=35,keep_rare_distinct=1,rg=11; find=8; for=4; sed=3; tool/tool=3; echo=2,read=23; process=12,bpfopt=10; none=5; .h=3; bpfopt-loader-515065-0=2; balancer_consts.h=2; balancer_maps.h=2,research=36
prompt,mapresearch,1,35,0.007,1,35,100.0,1,35,1,0,mapresearch=35,auto_canonicalize_existing=1,find=17; jq=5; rg=4; for=2; ls=2; python3=2,read=30; process=5,corpus=8; tmp=7; runner=4; balancer_ingres=2; balancer_ingress=2; result.json=2,research=36
prompt,reviewdocs,1,35,0.007,1,35,100.0,1,35,1,0,reviewdocs=35,auto_canonicalize_existing=1,nl=11; rg=10; python3=5; wc=5; sed=2; find=1,read=30; write=4; process=1,docs/visexp=29; len_min=1; min=1; rows_min=1; none=1; osdi-experiment-design=1,review=36
llm,smoke,1,34,0.007,0,0,0.0,0,0,0,0,smoke=34,keep_head=1,,,,refactor=442; benchmark=293; design=281; review=244; test=151; maintain=45
llm,snapshot,1,34,0.007,0,0,0.0,0,0,0,0,snapshot=34,keep_head=1,,,,review=301352; refactor=183911; test=44279; docs=12372; design=172; designcodex=98
llm,tokenreport,1,34,0.007,1,34,100.0,0,0,0,0,tokenreport=34,review_merge=1,,,,improve=6500136; userscenariq=6067283; gothub=4156847; clarify=54729
prompt,match,1,34,0.007,0,0,0.0,1,34,0,0,match=34,keep_rare_distinct=1,sed=10; rg=5; set=5; tool/tool=5; cargo=4; xxd=3,read=16; process=14; test=3; write=1,bpfopt=13; none=9; runner=5; corpus=2; bpfopt-loader-katran-corpus-default-smoke=2; tmp=1,research=35
llm,backup,1,32,0.007,0,0,0.0,0,0,0,0,backup=32,keep_head=1,,,,review=10351770; backup=2709451; refactor=63; analyze=5
llm,clauderesp,1,32,0.007,1,32,100.0,0,0,1,0,clauderesp=32,regenerate_candidate=1,,,,cli=1233654
llm,sandboxing,1,32,0.007,0,0,0.0,0,0,0,0,sandboxing=32,keep_head=1,,,,review=21278; read=13645; criterion=13645; refactor=13645; research=7464; uxrefine=4582
prompt,storageanayl,1,32,0.007,0,0,0.0,1,32,0,0,storageanayl=32,keep_rare_distinct=1,nl=14; npm=4; tool/tool=4; cd=2; curl=2; pkill=2,read=16; process=12; network=2; test=2,none=14; collector/src=12; tmp=4; frontend/src=2,design=33
llm,search,1,31,0.006,0,0,0.0,0,0,0,0,search=31,keep_head=1,,,,refactor=746139; architect=106893; review=95716; compare=51467; explore=29139; test=9445
llm,status,1,31,0.006,0,0,0.0,0,0,0,0,status=31,keep_head=1,,,,metrics=162120; refactor=879; test=347; analyze=221; review=164; docs=53
prompt,website,1,31,0.006,0,0,0.0,1,31,0,0,website=31,keep_rare_distinct=1,ls=6; agentsight=5; cat=5; grep=5; gh=3; git=3,read=19; process=11; network=1,frontend/src=7; tmp=5; .github/workflows=3; remotes=3; none=2; repos=2,review=32
prompt,workshop,1,31,0.006,0,0,0.0,1,31,0,0,workshop=31,keep_rare_distinct=1,cargo=12; tool/edit=8; tool/read=5; cd=3; grep=2; agentsight=1,process=17; test=12; read=2,collector/src=13; none=12; collector/tests=3; target=1; collector=1; repo=1,refactor=32
llm,parse,1,30,0.006,0,0,0.0,0,0,0,0,parse=30,keep_head=1,,,,review=157763; build=145575; test=85578; refactor=63750; explore=60921; design=51055
llm,refactorchk,1,30,0.006,0,0,0.0,0,0,0,0,refactorchk=30,keep_head=1,,,,review=22832991
llm,tag,1,30,0.006,0,0,0.0,0,0,0,0,tag=30,keep_head=1,,,,analyze=17557; design=161; docs=139; review=64; research=41; agentsight=35
llm,artifact,1,29,0.006,0,0,0.0,0,0,0,0,artifact=29,keep_head=1,,,,refactor=419; analyze=320; design=307; benchmark=129; analyzesess=61; research=49
llm,refine,1,29,0.006,0,0,0.0,0,0,0,0,refine=29,keep_head=1,,,,lint=188707; research=1660; review=900; refactor=640; commitlog=277; design=61
prompt,agentsight,1,28,0.006,1,28,100.0,1,28,1,0,agentsight=28,regenerate_candidate=1,rg=10; sed=4; git=3; printf=2; cargo=2; curl=2,read=17; process=7; test=2; network=2,none=12; collector/src=9; frontend/src=3; .rs=1; .ts=1; .tsx=1,review=27; agentsight=3
prompt,gcutoff,1,28,0.006,0,0,0.0,1,28,0,0,gcutoff=28,keep_rare_distinct=1,docker=9; dockerd=3; systemctl=3; df=2; du=2; install=2,process=25; read=2; write=1,none=16; etc=6; /=2; var=2; tmp=2,cleanup=29
prompt,issue,1,28,0.006,0,0,0.0,1,28,0,0,issue=28,keep_rare_distinct=1,cat=18; tool/network=8; gh=2,read=18; process=8; network=2,none=10; tmp=2; /=2; chat=2; client=2; collector/src=2,review=29
prompt,plan,1,28,0.006,0,0,0.0,1,28,0,0,plan=28,keep_rare_distinct=1,tool/tool=8; read=6; python=4; find=3; podman=2; python3=2,process=14; network=8; read=5; write=1,none=18; tmp=2; application=2; openai=2; micro=2; result.json=1,analyze=19; refactor=7; docs=5; design=1; plan=1
llm,clean,1,27,0.006,0,0,0.0,0,0,0,0,clean=27,keep_head=1,,,,serveevents=430566; analyze=426; refactor=301; design=173; review=172; testcodex=67
prompt,dataupdate,1,27,0.006,1,27,100.0,1,27,1,0,dataupdate=27,regenerate_candidate=1,find=14; python3=6; for=2; ps=2; test=2; stat=1,read=14; process=8; write=5,corpus=7; micro=3; result.json=3; none=3; details=1; katran.json=1,refactor=28
llm,read,1,26,0.005,0,0,0.0,0,0,0,0,read=26,keep_head=1,,,,refactor=11700837; build=7578815; review=2368270; docs=2046878; test=1906732; design=238923
prompt,architect,1,26,0.005,0,0,0.0,1,26,0,0,architect=26,keep_rare_distinct=1,tool/network=26,process=26,none=26,design=27
prompt,countlines,1,26,0.005,0,0,0.0,1,26,0,0,countlines=26,keep_rare_distinct=1,rg=26,read=26,docs/visexp=26,countlines=37
prompt,perfreview,1,26,0.005,1,26,100.0,1,26,1,0,perfreview=26,auto_canonicalize_existing=1,grep=9; git=7; sed=6; tool/edit=2; tool/read=2,read=16; repo=6; process=4,docs/design=14; none=6; -home-yunwei37-workspace-agentsight=3; docs=2; docs/agents.md=1,review=27
prompt,tagify,1,26,0.005,0,0,0.0,1,26,0,0,tagify=26,keep_rare_distinct=1,rg=10; git=5; find=3; sed=3; ps=2; collect=1,read=21; process=5,none=5; module=4; runner=4; tests/unittest=3; vendor=2; analysis=2,refactor=27
session,countlines,1,26,0.005,0,0,0.0,1,26,0,0,countlines=26,keep_rare_distinct=1,rg=26,read=26,docs/visexp=26,countlines=26
llm,cleancache,1,25,0.005,0,0,0.0,0,0,0,0,cleancache=25,keep_head=1,,,,design=622; refactor=302; capture=105; research=79; cleanup=43; analyze=40
llm,generate,1,25,0.005,0,0,0.0,0,0,0,0,generate=25,keep_head=1,,,,implementbtr=212726; findtable=182278; analyze=77; refactor=71; docs=45; bin=43
llm,ignore,1,25,0.005,0,0,0.0,0,0,0,0,ignore=25,keep_head=1,,,,ignore=100866; refactor=591; ignored=162; test=93; review=91; research=77
llm,optimize,1,25,0.005,0,0,0.0,0,0,0,0,optimize=25,keep_head=1,,,,review=139067; analyze=541; research=506; refactor=504; benchmark=357; test=232
llm,restart,1,25,0.005,1,25,100.0,0,0,1,0,restart=25,auto_canonicalize_existing=1,,,,test=48119; analyze=436; network=109; cleanup=93; refactor=52; research=47
llm,timeout,1,25,0.005,0,0,0.0,0,0,0,0,timeout=25,keep_head=1,,,,refactor=474720; analyze=877; docs=109; feedback=50
prompt,cachecontrol,1,25,0.005,0,0,0.0,1,25,0,0,cachecontrol=25,keep_rare_distinct=1,docker=16; tool/tool=4; df=2; du=2; find=1,process=24; read=1,none=20; var=3; /=2,cleanup=26
llm,attach,1,24,0.005,0,0,0.0,0,0,0,0,attach=24,keep_head=1,,,,metrics=141124; review=433; test=323; docs=108; commitlog=92; design=91
llm,export,1,24,0.005,0,0,0.0,0,0,0,0,export=24,keep_head=1,,,,test=177410; metrics=147974; explore=53324; summary=1422; analyze=238; review=166
prompt,findtable,1,24,0.005,0,0,0.0,1,24,0,0,findtable=24,keep_rare_distinct=1,grep=12; tool/read=8; find=4,read=16; process=8,collector/src=22; .rs=2,findtable=25
prompt,syncdir,1,24,0.005,1,24,100.0,1,24,1,0,syncdir=24,regenerate_candidate=1,find=8; git=5; ls=3; set=2; systemctl=2; flock=1,read=16; process=8,none=11; yunwei37=8; .config=2; user=1; skill-creator=1; systemd=1,analyze=25
prompt,uxintegrator,1,24,0.005,0,0,0.0,1,24,0,0,uxintegrator=24,keep_rare_distinct=1,sed=14; rg=6; git=2; wc=2,read=24,docs/design=24,uxdesign=25
session,findtable,1,24,0.005,0,0,0.0,1,24,0,0,findtable=24,keep_rare_distinct=1,grep=12; tool/read=8; find=4,read=16; process=8,collector/src=22; .rs=2,findtable=24
llm,diffcheck,1,23,0.005,1,23,100.0,0,0,1,0,diffcheck=23,auto_canonicalize_existing=1,,,,refactor=120748; design=97; analyze=83; research=66; review=64; test=40
prompt,emit,1,23,0.005,0,0,0.0,1,23,0,0,emit=23,keep_rare_distinct=1,nl=9; sed=7; tool/plan=3; rg=3; find=1,read=20; process=3,vendor=14; docs/tmp=4; none=3; clobber=1; temp=1,refactor=24
prompt,monitor,1,23,0.005,0,0,0.0,1,23,0,0,monitor=23,keep_rare_distinct=1,tool/read=5; gh=5; cd=4; git=4; tool/edit=3; grep=1,process=18; read=4; repo=1,collector/src=10; none=8; bpf=3; collector=1; repo=1,review=24
prompt,undo,1,23,0.005,0,0,0.0,1,23,0,0,undo=23,keep_rare_distinct=1,sed=11; rg=10; git=2,read=23,daemon=6; vendor=5; runner=3; .c=2; .h=2; bpfopt=2,refactor=24
llm,cleanups,1,22,0.005,0,0,0.0,0,0,0,0,cleanups=22,keep_head=1,,,,review=12733800; build=12451221; cleanup=6679934; refactor=1665033; cleanbuild=26717; cleanups=70
llm,impact,1,22,0.005,0,0,0.0,0,0,0,0,impact=22,keep_head=1,,,,impact=5698; trace=198
llm,policy,1,22,0.005,0,0,0.0,0,0,0,0,policy=22,keep_head=1,,,,configurator=1028; audit=625; refactor=542; policy=533; features=520; testpolicy=331
llm,record,1,22,0.005,0,0,0.0,0,0,0,0,record=22,keep_head=1,,,,review=161626; metrics=140382; docs=546; test=164; feedback=119; analyze=114
prompt,gothub,1,22,0.005,0,0,0.0,1,22,0,0,gothub=22,keep_rare_distinct=1,git=6; rg=4; sed=4; mkdir=2; pwd=2; test=2,read=16; process=6,docs/design=20; none=2,gotomarket=23
prompt,uxrefine,1,22,0.005,0,0,0.0,1,22,0,0,uxrefine=22,keep_rare_distinct=1,sed=16; rg=4; git=2,read=22,collector/src=8; none=6; readme.md=4; collector/tests=2; docs/design=2,uxdesign=23
session,gotomarket,1,22,0.005,0,0,0.0,1,22,0,0,gotomarket=22,keep_rare_distinct=1,git=6; rg=4; sed=4; mkdir=2; pwd=2; test=2,read=16; process=6,docs/design=20; none=2,gothub=22
llm,gate,1,21,0.004,0,0,0.0,0,0,0,0,gate=21,keep_head=1,,,,test=311802; design=260; review=171; research=128; capture=107; analyze=98
llm,logcheck,1,21,0.004,1,21,100.0,0,0,0,0,logcheck=21,review_merge=1,,,,analyze=277; benchmark=162; refactor=135; test=78; design=69; docs=47
llm,docspage,1,20,0.004,1,20,100.0,0,0,1,0,docspage=20,auto_canonicalize_existing=1,,,,docs=113266960; test=112563154; docsupdate=547282; review=261216
llm,rebase,1,20,0.004,0,0,0.0,0,0,0,0,rebase=20,keep_head=1,,,,merge=81796; review=78385; refactor=46974; test=132; design=108; commit=44
prompt,check,1,20,0.004,1,20,100.0,1,20,1,0,check=20,regenerate_candidate=1,sed=5; find=4; rg=2; ps=2; rm=2; tmux=2,read=12; process=5; write=2; network=1,vendor=7; none=6; tmp=3; home=2; .agentsight=1; collector/target=1,review=14; analyze=11; refactor=8; sslcountchk=1
prompt,query,1,20,0.004,0,0,0.0,1,20,0,0,query=20,keep_rare_distinct=1,grep=16; tool/read=4,read=16; process=4,collector/src=20,review=21
session,coda,1,20,0.004,0,0,0.0,1,20,0,0,coda=20,keep_rare_distinct=1,sed=14; rg=6,read=20,docs/visexp=20,read=20
llm,readme,1,19,0.004,0,0,0.0,0,0,0,0,readme=19,keep_head=1,,,,design=78338; setup=32109; docs=772; refactor=177; summary=79; abstract=53
prompt,docrefactor,1,19,0.004,1,19,100.0,1,19,1,0,docrefactor=19,auto_canonicalize_existing=1,find=3; rg=3; tool/tool=3; ls=2; python3=2; sed=2,read=13; process=6,micro=6; none=6; docs/micro-bench-status.md=4; result.json=1; analysis=1; tmp=1,refactor=20
prompt,unittest,1,19,0.004,1,19,100.0,1,19,0,0,unittest=19,review_merge=1,tar=14; tool/plan=1; du=1; find=1; rg=1; sed=1,process=16; read=3,.cache=9; blobs=4; none=3; manifest.json=2; runner=1,refactor=20
llm,branding,1,18,0.004,0,0,0.0,0,0,0,0,branding=18,keep_head=1,,,,branding=2063; design=620; translate=513; npmpr=101; docs=57; namecheck=15
llm,install,1,18,0.004,0,0,0.0,0,0,0,0,install=18,keep_head=1,,,,refactor=426; domaincheck=289; review=230; testcodex=183; analyze=146; explain=114
llm,prune,1,18,0.004,0,0,0.0,0,0,0,0,prune=18,keep_head=1,,,,debug=470; analyze=198; refactor=113; cleanup=93
llm,save,1,18,0.004,0,0,0.0,0,0,0,0,save=18,keep_head=1,,,,refactor=46196; design=192; test=81; analyze=56
prompt,enable,1,18,0.004,0,0,0.0,1,18,0,0,enable=18,keep_rare_distinct=1,cat=6; ls=4; find=2; rg=2; sed=2; uname=2,read=16; process=2,etc=8; boot=4; proc=2; kernel=2; none=2,test=19
prompt,features,1,18,0.004,0,0,0.0,1,18,0,0,features=18,keep_rare_distinct=1,sed=11; rg=4; tool/plan=3,read=15; process=3,collector/src=8; bpf=3; .rs=2; _seed=1; delegate=1; dsl=1,test=20
prompt,preview,1,18,0.004,1,18,100.0,1,18,1,0,preview=18,auto_canonicalize_existing=1,sed=4; cat=2; ls=2; rg=2; tmux=2; tool/tool=2,read=11; process=7,none=7; frontend/src=3; frontend/next.config.js=1; frontend/package.json=1; collector/vendor=1; frontend/out=1,review=19
prompt,rqi,1,18,0.004,0,0,0.0,1,18,0,0,rqi=18,keep_rare_distinct=1,find=7; rg=3; for=2; jq=2; sed=2; ps=1,read=14; process=3; write=1,corpus=5; none=3; runner=3; micro=2; details=1; metadata.json=1,refactor=19
prompt,testcodexcod,1,18,0.004,1,18,100.0,1,18,0,0,testcodexcod=18,review_merge=1,llama-gguf=4; python=4; tool/tool=4; llama-cli=2; llama-server=2; ls=2,process=16; read=2,build=8; none=8; llama.cpp-latest=2,test=19
prompt,testignore,1,18,0.004,1,18,100.0,1,18,0,0,testignore=18,review_merge=1,git=12; rg=4; find=2,read=18,docs/corpus-rq1=12; docs/eval.md=2; docs/eval_scripts=2; docs/.gitignore=2,test=19
llm,setup,1,17,0.004,0,0,0.0,0,0,0,0,setup=17,keep_head=1,,,,review=1234995; install=220; refactor=150; setup=146; analyze=55; docs=43
llm,align,1,16,0.003,0,0,0.0,0,0,0,0,align=16,keep_head=1,,,,design=15444; refactor=181; capture=57; research=36
llm,tui,1,16,0.003,0,0,0.0,0,0,0,0,tui=16,keep_head=1,,,,refactor=9221218; workspace=138462; workshop=69462; trace=159; feedback=117; design=103
prompt,config,1,16,0.003,0,0,0.0,1,16,0,0,config=16,keep_rare_distinct=1,tool/tool=4; rg=3; sed=3; set=3; bpfopt-loader=1; cat=1,process=8; read=8,runner=7; none=7; bpfopt=1; corpus=1,research=17; review=1
prompt,constraints,1,16,0.003,0,0,0.0,1,16,0,0,constraints=16,keep_rare_distinct=1,clang=3; for=3; set=3; gcc=2; llc=2; rg=2,process=14; read=2,tmp=9; none=5; lib=1; share=1,refactor=17
prompt,copyto,1,16,0.003,0,0,0.0,1,16,0,0,copyto=16,keep_rare_distinct=1,git=8; rg=4; sed=4,read=16,docs/eval_scripts=8; docs/eval.md=4; docs/corpus-rq1=2; docs/corpus-rq2=2,test=17
prompt,implementbtr,1,16,0.003,0,0,0.0,1,16,0,0,implementbtr=16,keep_rare_distinct=1,tool/plan=8; tool/edit=6; python3=2,process=16,none=8; test_btree.py=4; btree.py=2; btree_complexity_analysis.md=2,implement=17
prompt,token,1,16,0.003,0,0,0.0,1,16,0,0,token=16,keep_rare_distinct=1,find=10; python3=3; rg=3,read=13; process=3,docs/eval_runs=5; none=3; summary.json=2; batch_manifest.json=1; batch_summary.json=1; merge_validation.json=1,refactor=17
prompt,warn,1,16,0.003,0,0,0.0,1,16,0,0,warn=16,keep_rare_distinct=1,rg=6; sed=3; tool/tool=3; tool/plan=1; for=1; nl=1,read=10; process=6,none=5; micro=4; analysis=3; vendor=2; module=2,refactor=17
session,benchmarks,1,16,0.003,0,0,0.0,1,16,0,0,benchmarks=16,keep_rare_distinct=1,sed=10; rg=6,read=16,agentflame/readme.md=16,read=16
session,implement,1,16,0.003,0,0,0.0,1,16,0,0,implement=16,keep_rare_distinct=1,tool/plan=8; tool/edit=6; python3=2,process=16,none=8; test_btree.py=4; btree.py=2; btree_complexity_analysis.md=2,implementbtr=16
llm,layout,1,15,0.003,0,0,0.0,0,0,0,0,layout=15,keep_head=1,,,,research=152; design=146; analyzesess=89; debug=78; review=67; analyze=43
prompt,testrun,1,15,0.003,1,15,100.0,1,15,1,0,testrun=15,auto_canonicalize_existing=1,sed=4; tool/tool=4; set=3; bpfopt-loader=1; cat=1; find=1,process=8; read=7,none=7; bpfopt=4; runner=2; module=2,research=16; docs=1
llm,grep,1,14,0.003,0,0,0.0,0,0,0,0,grep=14,keep_head=1,,,,review=806076; refactor=654721; verify=36204; analyze=64; design=42; trace=23
llm,kill,1,14,0.003,0,0,0.0,0,0,0,0,kill=14,keep_head=1,,,,review=196; analyze=181; test=32; trace=31; feedback=9
llm,loganalyze,1,14,0.003,1,14,100.0,0,0,1,0,loganalyze=14,auto_canonicalize_existing=1,,,,analyze=525; refactor=37
prompt,claimid,1,14,0.003,0,0,0.0,1,14,0,0,claimid=14,keep_rare_distinct=1,sed=12; rg=2,read=14,docs/visexp=14,refactor=19
prompt,deploy,1,14,0.003,0,0,0.0,1,14,0,0,deploy=14,keep_rare_distinct=1,git=8; sed=6,read=14,collector/src=4; none=4; readme.md=4; readme.zh-cn.md=2,review=15
prompt,insight,1,14,0.003,0,0,0.0,1,14,0,0,insight=14,keep_rare_distinct=1,sed=6; python=4; rg=4,read=10; process=4,scripts=8; none=4; swebench_example_20260304_233348=2,docs=15
llm,flamegraph,1,13,0.003,0,0,0.0,0,0,0,0,flamegraph=13,keep_head=1,,,,validate=264; uxrefine=81; trace=62
llm,resume,1,13,0.003,0,0,0.0,0,0,0,0,resume=13,keep_head=1,,,,analyze=604; refactor=37
prompt,domain,1,13,0.003,0,0,0.0,1,13,0,0,domain=13,keep_rare_distinct=1,sed=5; rg=4; git=3; ls=1,read=13,docs/security_model.md=5; docs/ux.md=4; docs/tmp=2; none=1; docs/arch_plan.md=1,test=14
prompt,layout,1,13,0.003,0,0,0.0,1,13,0,0,layout=13,keep_rare_distinct=1,sed=6; git=2; rg=2; find=1; ls=1; tool/tool=1,read=12; process=1,readme.md=5; readme.zh-cn.md=5; docs/top-mode-demo.png=2; repo=1,review=14
prompt,login,1,13,0.003,0,0,0.0,1,13,0,0,login=13,keep_rare_distinct=1,set=8; node=2; npm=1; test=1; tool/tool=1,process=12; write=1,none=5; npm=2; scripts=2; eunomia-bpf=1; ..=1; bin=1,branding=14
prompt,namecheck,1,13,0.003,1,13,100.0,1,13,1,0,namecheck=13,regenerate_candidate=1,python=11; gh=1; npm=1,network=11; process=2,none=12; https:=1,branding=14
prompt,profile,1,13,0.003,0,0,0.0,1,13,0,0,profile=13,keep_rare_distinct=1,python=11; tool/tool=2,network=11; process=2,none=13,branding=14
prompt,status,1,13,0.003,0,0,0.0,1,13,0,0,status=13,keep_rare_distinct=1,rg=11; find=1; sed=1,read=13,micro=8; docs/micro-bench-status.md=2; _0x_0-9a-f_+:_movabs=1; _0x_0-9a-f_+:_movabs_._exact-bpf=1; _0x_0-9a-f_+:_movabs_._warning-unmapped=1,refactor=14
prompt,testlog,1,13,0.003,1,13,100.0,1,13,1,0,testlog=13,auto_canonicalize_existing=1,agentsight=4; git=3; lsof=3; cargo=1; ls=1; tool/tool=1,process=8; read=4; test=1,none=6; collector/target=5; collector/cargo.toml=1; origin=1,test=14
llm,executed,1,12,0.002,0,0,0.0,0,0,0,0,executed=12,keep_head=1,,,,read=405058; paperagentfl=224695
llm,split,1,12,0.002,0,0,0.0,0,0,0,0,split=12,keep_head=1,,,,docs=13035; analyze=56
llm,syncdocs,1,12,0.002,1,12,100.0,0,0,1,0,syncdocs=12,auto_canonicalize_existing=1,,,,review=141; analyze=76; design=63; research=45; docs=43; linksetup=42
llm,testcodexcod,1,12,0.002,1,12,100.0,0,0,1,0,testcodexcod=12,auto_canonicalize_existing=1,,,,refactor=1234; review=592; test=375; trace=275; research=115; network=83
llm,verifylog,1,12,0.002,0,0,0.0,0,0,0,0,verifylog=12,keep_head=1,,,,refactor=518; proofcheck=408; benchmark=159; verify=52; review=27
prompt,mdrefactor,1,12,0.002,1,12,100.0,1,12,1,0,mdrefactor=12,auto_canonicalize_existing=1,python3=5; rg=3; ls=2; sed=2,read=7; process=5,docs/micro-bench-status.md=5; k=3; docs/figures=2; none=2,refactor=13
prompt,proofing,1,12,0.002,0,0,0.0,1,12,0,0,proofing=12,keep_rare_distinct=1,llvm-objdump-18=4; llvm-readelf-18=2; rg=2; sed=2; tail=2,process=6; read=6,vendor=6; native-sim=4; docs/tmp=2,refactor=13
prompt,refactordocs,1,12,0.002,1,12,100.0,1,12,1,0,refactordocs=12,auto_canonicalize_existing=1,rg=8; sed=4,read=12,docs/visexp=12,refactor=17
prompt,storytelling,1,12,0.002,0,0,0.0,1,12,0,0,storytelling=12,keep_rare_distinct=1,sed=6; tool/plan=4; rg=2,read=8; process=4,none=6; docs/design=6,design=13
prompt,usecase,1,12,0.002,0,0,0.0,1,12,0,0,usecase=12,keep_rare_distinct=1,nl=10; rg=2,read=12,bpf=2; docs/experiment-plans=2; docs/phase1_design.md=2; tests/abi=2; tests/functional=2; bench=2,design=13
prompt,uxdesign,1,12,0.002,1,12,100.0,1,12,0,0,uxdesign=12,review_merge=1,sed=10; perf=2,read=10; process=2,frontend/src=10; none=2,uxdesign=15
prompt,write,1,12,0.002,0,0,0.0,1,12,0,0,write=12,keep_rare_distinct=1,cat=8; ls=2; python=1; sed=1,read=11; process=1,experiments=3; opt=2; none=2; conda=1; fs=1; ml=1,docs=13
session,severity,1,12,0.002,0,0,0.0,1,12,0,0,severity=12,keep_rare_distinct=1,grep=10; tool/read=2,read=10; process=2,bpf=10; collector/src=2,verify=12
llm,alignview,1,11,0.002,0,0,0.0,0,0,0,0,alignview=11,keep_head=1,,,,analyze=7392
llm,label,1,11,0.002,0,0,0.0,0,0,0,0,label=11,keep_head=1,,,,research=279; build=107; validate=59; review=43; explain=34; design=25
llm,rootcause,1,11,0.002,0,0,0.0,0,0,0,0,rootcause=11,keep_head=1,,,,refactor=1023; commitlog=111
llm,stackify,1,11,0.002,0,0,0.0,0,0,0,0,stackify=11,keep_head=1,,,,analyze=9361
llm,tree,1,11,0.002,0,0,0.0,0,0,0,0,tree=11,keep_head=1,,,,analyze=154
llm,verdict,1,11,0.002,0,0,0.0,0,0,0,0,verdict=11,keep_head=1,,,,design=11847
prompt,impact,1,11,0.002,0,0,0.0,1,11,0,0,impact=11,keep_rare_distinct=1,,,,analyze=11
prompt,initetrize,1,11,0.002,0,0,0.0,1,11,0,0,initetrize=11,keep_rare_distinct=1,rg=9; tool/plan=2,read=9; process=2,.c=2; .h=2; .py=2; .rs=2; abi=1; tmp=1,refactor=12
prompt,innerrepeat,1,11,0.002,0,0,0.0,1,11,0,0,innerrepeat=11,keep_rare_distinct=1,rg=5; sed=3; tail=2; ls=1,read=11,micro=5; runner=4; none=2,refactor=12
prompt,perfcheck,1,11,0.002,1,11,100.0,1,11,1,0,perfcheck=11,regenerate_candidate=1,tool/read=6; find=3; grep=2,process=6; read=5,collector/src=6; .claude=2; src=2; .codex=1,review=12
prompt,prompt,1,11,0.002,1,11,100.0,1,11,1,0,prompt=11,regenerate_candidate=1,,,,analyze=11
prompt,treeify,1,11,0.002,0,0,0.0,1,11,0,0,treeify=11,keep_rare_distinct=1,,,,analyze=11
llm,analysis,1,10,0.002,0,0,0.0,0,0,0,0,analysis=10,keep_head=1,,,,rqanalyze=992; analyze=453; refactor=205; research=69; analysis=47; backup=41
llm,bpfix,1,10,0.002,0,0,0.0,0,0,0,0,bpfix=10,keep_head=1,,,,docs=261; research=107; explain=76; commitlog=59; refactor=53; docupdate=51
llm,cache,1,10,0.002,0,0,0.0,0,0,0,0,cache=10,keep_head=1,,,,metrics=157704; analyze=100; refactor=98; design=63; cleanup=60; serve=32
llm,config,1,10,0.002,0,0,0.0,0,0,0,0,config=10,keep_head=1,,,,refactor=563; research=187; docupdate=76; design=55; docs=28; analyze=20
